ID,Plot,Treatment,Plot Treatment,Light POM g LITTER C,Heavy POM g LITTER C,MAOM g LITTER C,Light POM g litter N,Heavy POM g litter N,MAOM g litter N,DryRootMass,Microbial Biomass,Litter % Light POM,Litter % Heavy POM,Litter % MAOM,SOM g C Light POM per gram dry soil,SOM g C Heavy POM per gram dry soil,SOM g C MAOM per gram dry soil
43,14,R,Organic,0.003058668,0.007106909,0.014880015,4.39E-05,0.000171861,0.001845822,0.06,2.18E-06,0.122124005,0.283758875,0.59411712,0.011334923,0.008848085,0.003901135
44,14,R,Organic,0.008129341,0.00704946,0.018544299,0.000472715,0.000367404,0.001858401,0.07,4.29E-06,0.241061498,0.209039501,0.549899001,0.011889956,0.008518658,0.003566774
45,14,T,Organic,0.004885206,0.005535893,0.021178482,0.00036789,0.000242488,0.001746164,,2.45E-06,0.154597176,0.17518881,0.670214013,0.014807867,0.009248,0.002493076
46,14,R,Organic,0.004789836,0.00903645,0.015355575,6.57E-05,0.000150755,0.001942116,0.21,3.63E-06,0.164137441,0.309659826,0.526202733,0.01172197,0.00974733,0.002601028
47,14,F,Organic,0.005182946,0.005221974,0.015982602,0.000285239,0.000259966,0.002099456,,1.01E-05,0.196416549,0.197895581,0.60568787,0.011400891,0.008947434,0.001885795
48,14,T,Organic,0.0122943,0.009489266,0.012968069,0.000731414,0.000488969,0.001792666,,3.65E-06,0.35377616,0.273059555,0.373164284,0.010564294,0.00898562,0.003507484
49,15,R,Control,0.005038231,0.0063085,0.014577175,7.60E-05,0.000105546,0.002294183,0.21,3.36E-06,0.194346909,0.243346817,0.562306274,0.013350027,0.007955031,0.003066523
50,15,F,Control,0.008287378,0.006239701,0.01891303,0.000383116,0.000280107,0.00219697,,1.44E-06,0.247827482,0.186593321,0.565579197,0.012294917,0.00732169,0.002539559
51,15,T,Control,0.004130763,0.009755909,0.021908225,0.000225264,0.000530974,0.002516298,,3.52E-06,0.115400891,0.272550274,0.612048835,0.013292952,0.006629421,0.003710789
52,15,R,Control,0.001634352,0.007532581,0.015872587,-4.75E-05,0.000129748,0.002624517,0.15,2.51E-06,0.0652709,0.300827692,0.633901409,0.01262176,0.008489002,0.002273666
53,15,F,Control,0.005706028,0.006612456,0.015707463,0.000207431,0.000374092,0.002265052,,,0.203598044,0.235940502,0.560461454,0.012357885,0.007485122,0.003378954
54,15,T,Control,0.007221139,0.010963091,0.017354262,0.000363323,0.000615366,0.001958624,,4.25E-06,0.203192049,0.30848498,0.488322971,0.011013821,0.007132197,0.003061823
55,17,R,Organic,0.002495953,0.006471287,0.015509316,6.65E-05,0.000155223,0.001676573,0.09,4.56E-06,0.101973211,0.264387155,0.633639635,0.010970965,0.009929463,0.002659139
56,17,R,Organic,0.004496257,0.00902622,0.012679853,0.000261149,0.000712794,0.001320937,0.04,5.49E-06,0.171597602,0.344481579,0.483920819,0.009596365,0.010968783,0.00205359
57,17,T,Organic,0.005005056,0.004683135,0.020205588,0.000194685,0.000170035,0.001663493,,1.11E-05,0.167428012,0.156659183,0.675912804,0.010993503,0.009926499,0.001819441
58,17,R,Organic,0.004643764,0.005609079,0.014977934,0.000148105,0.000179612,0.002182628,0.07,4.74E-06,0.184051565,0.222310989,0.593637445,0.013498385,0.009793525,0.002775567
59,17,R,Organic,0.014445617,0.004821581,0.018545217,0.000812646,0.00018831,0.001832033,0.05,9.64E-06,0.382033705,0.127513173,0.490453122,0.011040933,0.010718763,0.001404885
60,17,T,Organic,0.011906991,0.005106999,0.016923781,0.001555603,0.000367505,0.002138891,,9.20E-06,0.350847762,0.150481274,0.498670965,0.013018048,0.008942759,0.002470874
61,20,R,High N,0.004214138,0.011492013,0.019731234,0.000135056,0.000258934,0.001887979,0.06,1.11E-05,0.11891786,0.324290661,0.556791479,0.012492541,0.006897261,0.002980459
62,20,F,High N,0.009380576,0.004101062,0.018607436,0.000749102,0.00027616,0.001869275,,1.07E-05,0.292329283,0.127802441,0.579868275,0.012557809,0.006631158,0.001898137
63,20,T,High N,0.003925756,0.010062878,0.017021329,0.000353849,0.000549592,0.002004896,,1.54E-05,0.126596604,0.324504676,0.54889872,0.012224648,0.006196813,0.003153945
64,20,R,High N,0.006266528,0.009103164,0.020374792,0.000289729,0.000364087,0.001970531,0.03,1.70E-06,0.175314546,0.254673253,0.570012201,0.013363974,0.00708447,0.003300925
65,20,F,High N,0.016121979,0.004916245,0.018219415,0.000994597,0.000267416,0.002151614,,,0.410671131,0.125230277,0.464098592,0.012837298,0.00670769,0.002590826
66,20,T,High N,0.012749445,0.016018372,0.018890475,0.001000151,0.001152522,0.001835964,,6.41E-06,0.267517875,0.336108814,0.396373311,0.011305304,0.006057479,0.0033391
67,21,R,Organic,0.00323202,0.007096058,0.009706983,0.000109715,0.000244019,0.001533994,0.07,8.86E-06,0.161318201,0.354182001,0.484499798,0.01016668,0.009369512,0.002852789
68,21,F,Organic,0.000187331,0.003333132,0.011667216,0.00029414,0.000396267,0.001763922,,1.18E-06,0.012334406,0.219462895,0.768202699,0.012516752,0.009776228,0.004868479
69,21,T,Organic,0.009679746,0.005179448,0.016035578,0.000970485,0.000404303,0.001834382,,1.58E-05,0.313313398,0.167648041,0.519038561,0.010993286,0.009216883,0.002191402
70,21,R,Organic,0.009046665,0.009451819,0.0131687,0.00044278,0.000405626,0.001618326,0.11,7.08E-06,0.285679491,0.298473619,0.415846891,0.010938376,0.009464495,0.002733019
71,21,F,Organic,0.004207328,0.009371981,0.014178611,0.000392553,0.000676232,0.001687903,,3.72E-06,0.151572164,0.337632683,0.510795153,0.011736563,0.009075796,0.005024218
72,21,T,Organic,0.008648132,0.005459352,0.012789353,0.000689016,0.000370013,0.001601535,,7.34E-06,0.321529703,0.202973755,0.475496543,0.010723721,0.009050131,0.004200655
73,24,R,Control,0.005157707,0.014101724,0.016930127,0.000180093,0.000300681,0.001923336,0.09,9.23E-06,0.142519204,0.389662786,0.46781801,0.01147953,0.008488882,0.002528568
74,24,F,Control,0.004743829,0.006717507,0.013449346,0.000450828,0.00050643,0.001888932,,,0.190433526,0.269663713,0.539902761,0.012236297,0.007593599,0.003349373
75,24,T,Control,0.015902338,0.005794596,0.009924218,0.001068331,0.000316497,0.00179337,,6.57E-07,0.502901918,0.183250629,0.313847452,0.011068042,0.00741367,0.001907687
76,24,R,Control,0.005153523,0.008452011,0.015259636,0.000196091,0.000244841,0.00196105,0.11,2.65E-06,0.178537767,0.29281002,0.528652213,0.0118133,0.007028274,0.002474609
77,24,F,Control,0.011649842,0.006680003,0.012364699,0.000818913,0.000418791,0.002103018,,4.96E-06,0.379541133,0.217628351,0.402830516,0.011868167,0.007253116,0.00277249
78,24,T,Control,0.007651726,0.004308985,0.015102936,0.000602211,0.000234209,0.001923053,,4.11E-06,0.282730779,0.159216716,0.558052505,0.010657147,0.007837239,0.001707214
79,29,R,High N,0.004276474,0.012874964,0.014725625,0.000234577,0.000304787,0.001741572,0.14,5.59E-06,0.134155207,0.403894299,0.461950494,0.011033509,0.006762395,0.002722248
80,29,F,High N,0.007941045,0.013378056,0.016688454,0.000564847,0.000706431,0.001638415,,8.56E-06,0.208933329,0.351984125,0.439082546,0.012103881,0.006835977,0.003452418
81,29,T,High N,0.00686742,0.007150297,0.014663526,0.00048633,0.000353173,0.001649787,,,0.239439413,0.249302201,0.511258386,0.010933724,0.006856384,0.002558274
82,29,R,High N,0.012076542,0.011079644,0.019411112,0.000338632,0.000258392,0.001981699,0.18,,0.283704688,0.260285349,0.456009963,0.013159356,0.007832167,0.00237411
83,29,R,High N,0.003959507,0.007559478,0.02037015,0.000288063,0.000278213,0.001746618,0.29,,0.124164766,0.237054972,0.638780262,0.01235047,0.00656319,0.002447909
84,29,T,High N,0.0122124,0.008048528,0.012681102,0.000743271,0.000516471,0.00172953,,,0.370723966,0.244323984,0.384952051,0.010979429,0.006457391,0.00295588
85,30,R,Control,0.001763422,0.0044036,0.014078241,4.96E-05,0.000102109,0.002116503,0.05,,0.087102944,0.21751261,0.695384446,0.012075889,0.007061374,0.002412
86,30,F,Control,0.008495121,0.007221602,0.018043206,0.00059943,0.000435923,0.001606547,,,0.25163326,0.213910462,0.534456278,0.013705614,0.007457274,0.002435856
87,30,T,Control,0.007353427,0.003303153,0.026065543,0.000510688,0.000176506,0.001540659,,,0.200245149,0.089949947,0.709804904,0.015012653,0.008415944,0.001808984
88,30,R,Control,,,,,,,,,,,,,,
89,30,F,Control,0.01048969,0.009306477,0.019494428,0.000726194,0.00053619,0.001745699,0.02,,0.266977123,0.236862715,0.496160163,0.014633477,0.008846536,0.002341724
90,30,T,Control,,,,,,,,,,,,,,
